Predictable end sentence,Unpredictable end sentence,Taget word,pred_num_letters,pred_end_n_LPC,pred_num_words,unpred_num_letters,unpred_end_n_LPC,unpred_num_words,delta_tletters,delta_words,phon_pred,phon_unpred
Les deux étudiants se sont rencontrés et sont rapidement tombés amoureux. ,Les deux voisins ont discuté et ont compris qu'ils étaient amoureux.,amoureux,62.0,"19, except ['rapidement', ''], check the cv for: {'les': 1, 'étudiants': 4, 'sont': 1, 'rencontrés': 4, 'tombés': 2, 'amoureux': 3}",12.0,57.0,"20, except [""qu'ils""], check the cv for: {'les': 1, 'voisins': 3, 'ont': 1, 'discuté': 4, 'compris': 3, 'étaient': 2, 'amoureux': 3}",11.0,5.0,1.0,"le   d2   e-ty-d-j@   s2   s§   R@-k§-t-Re   e   s§   t§-be   a-mu-R2   ,except ['rapidement', ''], check the phon for: {'les': 'le', 'étudiants': 'etydj@', 'sont': 's§', 'rencontrés': 'R@k§tRe', 'tombés': 't§be', 'amoureux': 'amuR2'}","le   d2   v-wa-z5   §   di-s-ky-te   e   §   k§-p-Ri   e-tE   a-mu-R2   ,except [""qu'ils""], check the phon for: {'les': 'le', 'voisins': 'vwaz5', 'ont': '§', 'discuté': 'diskyte', 'compris': 'k§pRi', 'étaient': 'etE', 'amoureux': 'amuR2'}"
"Les jours ensoleillés, Jacques se rend au parc pour promener son chien.","Toutes les semaines, le médecin reçoit cette femme avec son vieux chien.",chien,58.0,"24, check the cv for: {'les': 1, 'ensoleillés': 4, 'pour': 2, 'son': 1}",12.0,59.0,"19, except ['semaines', 'reçoit'], check the cv for: {'toutes': 2, 'les': 1, 'le': 1, 'son': 1, 'vieux': 2}",12.0,-1.0,0.0,"le   Zu-R   @-so-lE-je   Za-k   s2   R@   o   pa-R-k   pu-R   p-RO-m-ne   s§   S-j5   ,check the cv for: {'les': 'le', 'ensoleillés': '@solEje', 'pour': 'puR', 'son': 's§'}","tu-t   le   l2   mE-d-s5   sE-t   fa-m   a-vE-k   s§   v-j2   S-j5   ,except ['semaines', 'reçoit'], check the phon for: {'toutes': 'tut', 'les': 'le', 'le': 'l2', 'son': 's§', 'vieux': 'vj2'}"
Faites attention à ne pas toucher la poêle quand elle est chaude.,Attendons-nous à ce que cette maison ne soit pas vraiment chaude.,chaude,53.0,"21, check the cv for: {'faites': 2, 'attention': 4, 'pas': 1, 'toucher': 2, 'la': 1, 'poêle': 3, 'quand': 1, 'est': 1, 'chaude': 2}",12.0,54.0,"20, check the cv for: {'ce': 1, 'que': 1, 'soit': 2, 'pas': 1, 'chaude': 2}",12.0,-1.0,0.0,"fE-t   a-t@-s-j§   a   n2   pa   tu-Se   la   p-wa-l   k@   E-l   e   So-d   ,check the cv for: {'faites': 'fEt', 'attention': 'at@sj§', 'pas': 'pa', 'toucher': 'tuSe', 'la': 'la', 'poêle': 'pwal', 'quand': 'k@', 'est': 'e', 'chaude': 'Sod'}","a-t@-d§   nu   a   s2   k2   sE-t   mE-z§   n2   s-wa   pa   v-RE-m@   So-d   ,check the cv for: {'ce': 's2', 'que': 'k2', 'soit': 'swa', 'pas': 'pa', 'chaude': 'Sod'}"
Briser un miroir vous causera beaucoup de malheur.,Parler à Ines vous éclairera sur son malheur.,malheur,42.0,"15, except ['causera'], check the cv for: {'un': 1, 'de': 1}",8.0,37.0,"11, except ['ines', 'éclairera'], check the cv for: {'parler': 3, 'sur': 2, 'son': 1}",8.0,5.0,0.0,"b-Ri-ze   1   mi-R-wa-R   vu   bo-ku   d2   ma-l9-R   ,except ['causera'], check the phon for: {'un': '1', 'de': 'd2'}","pa-R-le   a   vu   sy-R   s§   ma-l9-R   ,except ['ines', 'éclairera'], check the phon for: {'parler': 'paRle', 'sur': 'syR', 'son': 's§'}"
Émilie l’avait détesté dès le moment où ils s'étaient rencontrés.,Les cuisiniers ne savaient plus comment ils s'étaient rencontrés.,rencontrés,55.0,"15, except ['émilie', 'l’avait', ""s'étaient""], check the cv for: {'détesté': 4, 'le': 1, 'où': 1, 'rencontrés': 4}",10.0,56.0,"19, except [""s'étaient""], check the cv for: {'les': 1, 'plus': 2, 'comment': 2, 'rencontrés': 4}",9.0,-1.0,1.0,"de-tE-s-te   dE   l2   mo-m@   u   i-l   R@-k§-t-Re   ,except ['émilie', 'l’avait', ""s'étaient""], check the phon for: {'détesté': 'detEste', 'le': 'l2', 'où': 'u', 'rencontrés': 'R@k§tRe'}","le   k-8i-zi-n-je   n2   sa-vE   p-ly   ko-m@   i-l   R@-k§-t-Re   ,except [""s'étaient""], check the phon for: {'les': 'le', 'plus': 'ply', 'comment': 'kom@', 'rencontrés': 'R@k§tRe'}"
Les faux jumeaux étaient aussi différents que le jour et la nuit.,Elles aimaient beaucoup la liberté que leur offrait la nuit.,nuit,53.0,"19, check the cv for: {'les': 1, 'faux': 1, 'étaient': 2, 'différents': 3, 'que': 1, 'le': 1, 'la': 1, 'nuit': 2}",12.0,50.0,"20, check the cv for: {'la': 1, 'que': 1, 'leur': 2, 'nuit': 2}",10.0,3.0,2.0,"le   fo   Zy-mo   e-tE   o-si   di-fe-R@   k2   l2   Zu-R   e   la   n-8i   ,check the cv for: {'les': 'le', 'faux': 'fo', 'étaient': 'etE', 'différents': 'difeR@', 'que': 'k2', 'le': 'l2', 'la': 'la', 'nuit': 'n8i'}","E-l   E-mE   bo-ku   la   li-bE-R-te   k2   l9-R   o-f-RE   la   n-8i   ,check the cv for: {'la': 'la', 'que': 'k2', 'leur': 'l9R', 'nuit': 'n8i'}"
La petite fille était contente de perdre sa première dent.,Le pauvre homme s'inquiétait toujours de perdre une nouvelle dent.,dent,48.0,"20, except ['petite'], check the cv for: {'la': 1, 'était': 2, 'contente': 3, 'de': 1, 'sa': 1, 'première': 5}",10.0,56.0,"20, except [""s'inquiétait""], check the cv for: {'le': 1, 'pauvre': 3, 'de': 1, 'une': 2, 'nouvelle': 3}",10.0,-8.0,0.0,"la   fi-j   e-tE   k§-t@-t   d2   pE-R-d-R   sa   p-R2-m-jE-R   d@   ,except ['petite'], check the phon for: {'la': 'la', 'était': 'etE', 'contente': 'k§t@t', 'de': 'd2', 'sa': 'sa', 'première': 'pR2mjER'}","l2   po-v-R   O-m   tu-Zu-R   d2   pE-R-d-R   y-n   nu-vE-l   d@   ,except [""s'inquiétait""], check the phon for: {'le': 'l2', 'pauvre': 'povR', 'de': 'd2', 'une': 'yn', 'nouvelle': 'nuvEl'}"
"Ce couteau ne coupe pas, sa lame est complètement usée.","Pour se réchauffer, il a mis une couverture très usée.",usée,44.0,"13, except ['complètement'], check the cv for: {'ce': 1, 'coupe': 2, 'pas': 1, 'sa': 1, 'est': 1, 'usée': 2}",10.0,43.0,"21, check the cv for: {'pour': 2, 'il': 2, 'a': 1, 'mis': 1, 'une': 2, 'usée': 2}",10.0,1.0,0.0,"s2   ku-to   n2   ku-p   pa   sa   la-m   e   y-ze   ,except ['complètement'], check the phon for: {'ce': 's2', 'coupe': 'kup', 'pas': 'pa', 'sa': 'sa', 'est': 'e', 'usée': 'yze'}","pu-R   s2   Re-So-fe   i-l   a   mi   y-n   ku-vE-R-ty-R   t-RE   y-ze   ,check the cv for: {'pour': 'puR', 'il': 'il', 'a': 'a', 'mis': 'mi', 'une': 'yn', 'usée': 'yze'}"
"Au concert de rock, la musique était trop forte.","Avec le poisson, la sauce n'était pas très forte.",forte,38.0,"18, check the cv for: {'de': 1, 'rock': 2, 'la': 1, 'musique': 3, 'était': 2, 'forte': 3}",9.0,39.0,"16, except [""n'était""], check the cv for: {'le': 1, 'la': 1, 'sauce': 2, 'pas': 1, 'forte': 3}",9.0,-1.0,0.0,"o   k§-sE-R   d2   RO-k   la   my-zi-k   e-tE   t-Ro   fO-R-t   ,check the cv for: {'de': 'd2', 'rock': 'ROk', 'la': 'la', 'musique': 'myzik', 'était': 'etE', 'forte': 'fORt'}","a-vE-k   l2   p-wa-s§   la   so-s   pa   t-RE   fO-R-t   ,except [""n'était""], check the phon for: {'le': 'l2', 'la': 'la', 'sauce': 'sos', 'pas': 'pa', 'forte': 'fORt'}"
"Pour fêter son départ, ses amis lui ont organisé une fête.","De leur chambre, les enfants entendaient bien les bruis de la fête.",fête,46.0,"23, check the cv for: {'pour': 2, 'son': 1, 'départ': 3, 'ses': 1, 'amis': 2, 'lui': 2, 'ont': 1, 'organisé': 5, 'une': 2, 'fête': 2}",11.0,54.0,"19, except ['bruis'], check the cv for: {'de': 1, 'leur': 2, 'chambre': 3, 'les': 1, 'bien': 2, 'la': 1, 'fête': 2}",12.0,-8.0,-1.0,"pu-R   fe-te   s§   de-pa-R   se   a-mi   l-8i   §   O-R-ga-ni-ze   y-n   fE-t   ,check the cv for: {'pour': 'puR', 'son': 's§', 'départ': 'depaR', 'ses': 'se', 'amis': 'ami', 'lui': 'l8i', 'ont': '§', 'organisé': 'ORganize', 'une': 'yn', 'fête': 'fEt'}","d2   l9-R   S@-b-R   le   @-f@   @-t@-dE   b-j5   le   d2   la   fE-t   ,except ['bruis'], check the phon for: {'de': 'd2', 'leur': 'l9R', 'chambre': 'S@bR', 'les': 'le', 'bien': 'bj5', 'la': 'la', 'fête': 'fEt'}"
