,target,prob_x,number_x,entropy_x,pred_x,sentence_x,prob_y,number_y,entropy_y,pred_y,sentence_y
1,rencontrees,0.631578947368421,24,9,1,Émilie l’avait détestée dès le moment où elles s'étaient,0.0,0,23,0,Les policiers n'avaient pas du tout compris qu'elles s'étaient
3,disparu,0.6052631578947368,23,9,1,Le magicien fit tomber le rideau et la femme avait,0.06451612903225806,2,15,0,Les visiteurs attendaient le maire et pensaient qu'il avait
4,contrat,1.0,38,1,1,Il voulait travailler pour mon entreprise et n'a pas hésité à signer le,0.0,0,11,0,Elle a eu la bonne idée de le rappeler après avoir étudié son
5,anniversaire,0.9473684210526315,36,3,1,La fillette a reçu ce cadeau pour son,0.12903225806451613,4,17,0,Elle a acheté un pot de fleurs pour son
6,construite,0.6052631578947368,23,8,1,Hugo vivait dans une cabane qu'il avait lui-même,0.0,0,22,0,Albert a oublié la radio que sa mère avait
8,sucre,1.0,38,1,1,"Pour rendre son café moins amer, elle a mis un morceau de",0.12903225806451613,4,11,0,"Pour améliorer cette recette, il faudrait ajouter un peu de"
9,gorge,0.9736842105263158,37,2,1,Il lui a mis un couteau sous la,0.12903225806451613,4,8,0,Elle a toujours eu mal à la
10,menthe,0.7368421052631579,28,6,1,Bernard l’avait accueilli avec un thé à la,0.0,0,8,0,Isabelle était sortie cueillir un bouquet de
11,photos,0.9210526315789473,35,3,1,Elle a emporté son nouvel appareil pour prendre de belles,0.0,0,13,0,Son père avait dans le temps une incroyable collection de
0,pommes,0.9354838709677419,29,3,1,On fait le cidre avec le jus des,0.10526315789473684,4,28,0,Son ami a toujours adoré manger des
3,pelouse,1.0,31,1,1,"Au printemps dans le jardin, son père tondait la",0.0,0,3,0,"En été à la mer, les enfants jouaient sur la"
4,armee,0.8387096774193549,26,5,1,"Dès sa majorité, il s’était engagé dans l'",0.05263157894736842,2,20,0,"Depuis trois ans, elle travaillait dans l'"
5,honte,0.8709677419354839,27,5,1,Après cette grosse bêtise il rougit de,0.0,0,24,0,"L'après-midi, il su pourquoi il avait"
6,voiture,0.8709677419354839,27,5,1,"Après sa panne, un passant l'a aidé à pousser sa",0.02631578947368421,1,10,0,"Comme ses voisins, elle a elle-même repeint sa"
9,bourse,0.9354838709677419,29,3,1,Il va acheter des actions cotées en,0.0,0,18,0,Elle n'est encore jamais passée devant la
