Predictable end sentence,Unpredictable end sentence,Taget word
Les deux étudiants se sont rencontrés et sont rapidement tombés amoureux. ,Les deux voisins ont discuté et ont compris qu'ils étaient amoureux.,amoureux
"Les jours ensoleillés, Jacques se rend au parc pour promener son chien.","Toutes les semaines, le médecin reçoit cette femme avec son vieux chien.",chien
Faites attention à ne pas toucher la poêle quand elle est chaude.,Attendons-nous à ce que cette maison ne soit pas vraiment chaude.,chaude
Briser un miroir vous causera beaucoup de malheur.,Parler à Ines vous éclairera sur son malheur.,malheur
Émilie l’avait détesté dès le moment où ils s'étaient rencontrés.,Les cuisiniers ne savaient plus comment ils s'étaient rencontrés.,rencontrés
Les faux jumeaux étaient aussi différents que le jour et la nuit.,Elles aimaient beaucoup la liberté que leur offrait la nuit.,nuit
La petite fille était contente de perdre sa première dent.,Le pauvre homme s'inquiétait toujours de perdre une nouvelle dent.,dent
"Ce couteau ne coupe pas, sa lame est complètement usée.","Pour se réchauffer, il a mis une couverture très usée.",usée
"Au concert de rock, la musique était trop forte.","Avec le poisson, la sauce n'était pas très forte.",forte
"Pour fêter son départ, ses amis lui ont organisé une fête.","De leur chambre, les enfants entendaient bien les bruis de la fête.",fête
"Pendant la randonnée, les pieds de Lila lui faisaient plus mal à chaque pas.","Pendant la réunion, les enfants de sa sœur ont décidé de faire un pas.",pas
Thais était en retard et n'arrêtait pas de regarder sa montre.,Elsa était tombée par terre et avait encore cassé sa montre.,montre
Le petit oiseau s'est cassé une aile et ne peut plus voler.,Un scarabée est sorti du sac et a commencé à voler.,voler
La couleur la plus associée à la colère est le rouge.,Sa nouvelle chambre a un mur entièrement peint en rouge.,rouge
Les tensions entre les pays pourraient aboutir à la guerre.,Les marchands de légumes n'ont pas l'habitude de faire la guerre.,guerre
Gaspard était perdu et ne savait pas quoi faire.,Léo était choqué devant cette chose étrange à faire.,faire
La mère inquiète avait plusieurs bouches à nourrir.,Mon frère possédait des animaux difficiles à nourrir.,nourrir
Arielle a été licenciée et recherche un autre emploi.,Arthur a cherché et a rapidement retrouvé un emploi.,emploi
