Predictable end sentence,Unpredictable end sentence,target,pred_num_letters,pred_end_n_LPC,pred_num_words,unpred_num_letters,unpred_end_n_LPC,unpred_num_words,delta_tletters,delta_words,phon_pred,phon_unpred
"Les jours ensoleillés, Jacques se rend au parc pour promener son chien.","Pendant les grandes vacances, le médecin aimait voyager avec son chien.",chien,58.0,"24, check the cv for: {'les': 1, 'ensoleillés': 4, 'pour': 2, 'son': 1}",12.0,59.0,"25, check the cv for: {'pendant': 2, 'les': 1, 'grandes': 3, 'le': 1, 'son': 1}",11.0,-1.0,1.0,"le   Zu-R   @-so-lE-je   Za-k   s2   R@   o   pa-R-k   pu-R   p-RO-m-ne   s§   S-j5   ,check the cv for: {'les': 'le', 'ensoleillés': '@solEje', 'pour': 'puR', 'son': 's§'}","p@-d@   le   g-R@-d   va-k@-s   l2   mE-d-s5   E-mE   v-wa-ja-Ze   a-vE-k   s§   S-j5   ,check the cv for: {'pendant': 'p@d@', 'les': 'le', 'grandes': 'gR@d', 'le': 'l2', 'son': 's§'}"
Émilie l’avait détestée dès le moment où elles s'étaient rencontrées.,Les policiers n'avaient pas du tout compris qu'elles s'étaient rencontrées,rencontrées,59.0,"15, except ['émilie', 'l’avait', ""s'étaient""], check the cv for: {'détestée': 4, 'le': 1, 'où': 1, 'rencontrées': 4}",10.0,65.0,"15, except [""n'avaient"", ""qu'elles"", ""s'étaient""], check the cv for: {'les': 1, 'policiers': 4, 'pas': 1, 'tout': 1, 'compris': 3, 'rencontrées': 4}",10.0,-6.0,0.0,"de-tE-s-te   dE   l2   mo-m@   u   E-l   R@-k§-t-Re   ,except ['émilie', 'l’avait', ""s'étaient""], check the phon for: {'détestée': 'detEste', 'le': 'l2', 'où': 'u', 'rencontrées': 'R@k§tRe'}","le   po-li-s-je   pa   dy   tu   k§-p-Ri   R@-k§-t-Re   ,except [""n'avaient"", ""qu'elles"", ""s'étaient""], check the phon for: {'les': 'le', 'policiers': 'polisje', 'pas': 'pa', 'tout': 'tu', 'compris': 'k§pRi', 'rencontrées': 'R@k§tRe'}"
"Cette jupe est trop vieille, son tissu est très usé.","Pour se réchauffer, il a mis un manteau très usé.",usé,41.0,"18, check the cv for: {'est': 1, 'vieille': 3, 'son': 1, 'tissu': 2, 'usé': 2}",10.0,38.0,"17, check the cv for: {'pour': 2, 'il': 2, 'a': 1, 'mis': 1, 'un': 1, 'usé': 2}",10.0,3.0,0.0,"sE-t   Zy-p   e   t-Ro   v-jE-j   s§   ti-sy   e   t-RE   y-ze   ,check the cv for: {'est': 'e', 'vieille': 'vjEj', 'son': 's§', 'tissu': 'tisy', 'usé': 'yze'}","pu-R   s2   Re-So-fe   i-l   a   mi   1   m@-to   t-RE   y-ze   ,check the cv for: {'pour': 'puR', 'il': 'il', 'a': 'a', 'mis': 'mi', 'un': '1', 'usé': 'yze'}"
Le magicien fit tomber le rideau et la femme avait disparu.,Les visiteurs attendaient le maire et pensaient qu'il avait disparu.,disparu,48.0,"21, check the cv for: {'le': 1, 'la': 1, 'avait': 2, 'disparu': 4}",11.0,58.0,"20, except [""qu'il""], check the cv for: {'les': 1, 'le': 1, 'avait': 2, 'disparu': 4}",10.0,-10.0,1.0,"l2   ma-Zi-s-j5   fi   t§-be   l2   Ri-do   e   la   fa-m   a-vE   di-s-pa-Ry   ,check the cv for: {'le': 'l2', 'la': 'la', 'avait': 'avE', 'disparu': 'dispaRy'}","le   vi-zi-t9-R   a-t@-dE   l2   mE-R   e   p@-sE   a-vE   di-s-pa-Ry   ,except [""qu'il""], check the phon for: {'les': 'le', 'le': 'l2', 'avait': 'avE', 'disparu': 'dispaRy'}"
Il voulait travailler pour mon entreprise et n'a pas hésité à signer le contrat.,Elle a eu la bonne idée de le rappeler après avoir étudié son contrat‏.,contrat,66.0,"23, except ['entreprise', ""n'a""], check the cv for: {'il': 2, 'pour': 2, 'mon': 1, 'pas': 1, 'le': 1}",14.0,57.0,"23, except ['rappeler', 'contrat\u200f'], check the cv for: {'a': 1, 'eu': 1, 'la': 1, 'bonne': 2, 'de': 1, 'le': 1, 'après': 3, 'avoir': 4, 'étudié': 4, 'son': 1}",14.0,9.0,0.0,"i-l   vu-lE   t-Ra-va-je   pu-R   m§   e   pa   e-zi-te   a   si-Ne   l2   k§-t-Ra   ,except ['entreprise', ""n'a""], check the phon for: {'il': 'il', 'pour': 'puR', 'mon': 'm§', 'pas': 'pa', 'le': 'l2'}","E-l   a   y   la   bO-n   i-de   d2   l2   a-p-RE   a-v-wa-R   e-ty-d-je   s§   ,except ['rappeler', 'contrat\u200f'], check the phon for: {'a': 'a', 'eu': 'y', 'la': 'la', 'bonne': 'bOn', 'de': 'd2', 'le': 'l2', 'après': 'apRE', 'avoir': 'avwaR', 'étudié': 'etydje', 'son': 's§'}"
La fillette a reçu ce cadeau pour son anniversaire.,Elle a acheté un pot de fleurs pour son anniversaire.,anniversaire,42.0,"18, except ['reçu'], check the cv for: {'la': 1, 'a': 1, 'ce': 1, 'pour': 2, 'son': 1, 'anniversaire': 6}",9.0,43.0,"18, except ['acheté'], check the cv for: {'a': 1, 'un': 1, 'de': 1, 'pour': 2, 'son': 1, 'anniversaire': 6}",10.0,-1.0,-1.0,"la   fi-j-E-t   a   s2   ka-do   pu-R   s§   a-ni-vE-R-sE-R   ,except ['reçu'], check the phon for: {'la': 'la', 'a': 'a', 'ce': 's2', 'pour': 'puR', 'son': 's§', 'anniversaire': 'anivERsER'}","E-l   a   1   po   d2   f-l9-R   pu-R   s§   a-ni-vE-R-sE-R   ,except ['acheté'], check the phon for: {'a': 'a', 'un': '1', 'de': 'd2', 'pour': 'puR', 'son': 's§', 'anniversaire': 'anivERsER'}"
Hugo vivait dans une cabane qu'il avait lui-même construite.,Albert a oublié la radio que sa mère avait construite.,construite,51.0,"20, except ['hugo', ""qu'il""], check the cv for: {'une': 2, 'avait': 2, 'lui': 2, 'même': 2}",10.0,44.0,"21, except ['albert'], check the cv for: {'a': 1, 'oublié': 4, 'la': 1, 'que': 1, 'sa': 1, 'avait': 2}",10.0,7.0,0.0,"vi-vE   d@   y-n   ka-ba-n   a-vE   l-8i   mE-m   k§-s-t-R-8i-t   ,except ['hugo', ""qu'il""], check the phon for: {'une': 'yn', 'avait': 'avE', 'lui': 'l8i', 'même': 'mEm'}","a   u-b-li-je   la   Ra-d-jo   k2   sa   mE-R   a-vE   k§-s-t-R-8i-t   ,except ['albert'], check the phon for: {'a': 'a', 'oublié': 'ublije', 'la': 'la', 'que': 'k2', 'sa': 'sa', 'avait': 'avE'}"
La riche héritière portait un collier de perles.,La femme s’était offert un beau bracelet de perles.,perles,40.0,"19, check the cv for: {'la': 1, 'riche': 2, 'un': 1, 'de': 1}",8.0,42.0,"12, except ['s’était', 'bracelet'], check the cv for: {'la': 1, 'un': 1, 'beau': 1, 'de': 1}",9.0,-2.0,-1.0,"la   Ri-S   e-Ri-t-jE-R   pO-R-tE   1   ko-l-je   d2   pE-R-l   ,check the cv for: {'la': 'la', 'riche': 'RiS', 'un': '1', 'de': 'd2'}","la   fa-m   o-fE-R   1   bo   d2   pE-R-l   ,except ['s’était', 'bracelet'], check the phon for: {'la': 'la', 'un': '1', 'beau': 'bo', 'de': 'd2'}"
"Pour rendre son café moins amer, elle a mis un morceau de sucre.","Pour améliorer cette recette, il faudrait ajouter un peu de sucre.",sucre,50.0,"25, check the cv for: {'pour': 2, 'son': 1, 'café': 2, 'moins': 2, 'amer': 3, 'a': 1, 'mis': 1, 'un': 1, 'de': 1, 'sucre': 3}",13.0,54.0,"23, except ['recette'], check the cv for: {'pour': 2, 'il': 2, 'un': 1, 'peu': 1, 'de': 1, 'sucre': 3}",11.0,-4.0,2.0,"pu-R   R@-d-R   s§   ka-fe   m-w5   a-mE-R   E-l   a   mi   1   mO-R-so   d2   sy-k-R   ,check the cv for: {'pour': 'puR', 'son': 's§', 'café': 'kafe', 'moins': 'mw5', 'amer': 'amER', 'a': 'a', 'mis': 'mi', 'un': '1', 'de': 'd2', 'sucre': 'sykR'}","pu-R   a-me-l-jo-Re   sE-t   i-l   fo-d-RE   a-Zu-te   1   p2   d2   sy-k-R   ,except ['recette'], check the phon for: {'pour': 'puR', 'il': 'il', 'un': '1', 'peu': 'p2', 'de': 'd2', 'sucre': 'sykR'}"
Il lui a mis un couteau sous la gorge.,Elle a toujours eu mal à la gorge.,gorge,29.0,"14, check the cv for: {'il': 2, 'lui': 2, 'a': 1, 'mis': 1, 'un': 1, 'sous': 1, 'la': 1, 'gorge': 3}",9.0,26.0,"14, check the cv for: {'a': 1, 'eu': 1, 'mal': 2, 'la': 1, 'gorge': 3}",8.0,3.0,1.0,"i-l   l-8i   a   mi   1   ku-to   su   la   gO-R-Z   ,check the cv for: {'il': 'il', 'lui': 'l8i', 'a': 'a', 'mis': 'mi', 'un': '1', 'sous': 'su', 'la': 'la', 'gorge': 'gORZ'}","E-l   a   tu-Zu-R   y   ma-l   a   la   gO-R-Z   ,check the cv for: {'a': 'a', 'eu': 'y', 'mal': 'mal', 'la': 'la', 'gorge': 'gORZ'}"
