Predictable end sentence,Unpredictable end sentence,Taget word
Les deux étudiants se sont rencontrés et sont rapidement tombés amoureux.,Les deux voisins se sont croisés et ont compris qu'ils étaient amoureux.,amoureux
"Les jours ensoleillés, Jacques se rend au parc pour promener son chien.","Le lundi matin, Léa croise toujours cette femme et son chien.",chien
Faites attention à ne pas toucher la poêle quand elle est chaude.,Attendons-nous à ce que l'assiette soit plus chaude.,chaude
Briser un miroir vous causera des années de malheur.,Écouter Ines vous donnera l'habitude du malheur.,malheur
Émilie l’avait détesté dès le moment où ils s'étaient rencontrés.,Les collègues ne s'attendent pas à revenir là où ils se sont rencontrés.,rencontrés
Les faux jumeaux étaient aussi différents que le jour et la nuit.,Les jeunes femmes avaient toujours aimé se balader pendant la nuit.,nuit
La petite fille était excitée de perdre sa première dent.,Le vieil homme s'inquiétait de perdre une nouvelle dent.,dent
"Si certains couteaux étaient tranchants, d'autres étaient très émoussés.","Si cette montagne restait très visitée, ses rochers étaient très émoussés.",émoussés
"Au concert de rock, la musique était extrêmement forte.","Dans le vieux port, la brise était encore plus forte.",forte
"Pour fêter sa promotion, les amis de Maya lui ont organisé une fête.","Depuis la rue, les enfants pouvaient entendre le bruit de la fête.",fête
"Pendant la randonnée, les pieds de Lila lui faisaient plus mal à chaque pas.","Pendant la réunion, les enfants ont décidé de faire un pas.",pas
"Thaïs étant en retard, elle n'arrêtait pas de regarder sa montre.","Elsa quittant l'entreprise, elle s'était vu offert une montre.",montre
"Après sa blessure, le petit oiseau ne pouvait plus voler.","Pendant la nuit, le papillon avait recommencé à voler.",voler
La couleur la plus associée à la colère est le rouge.,Le vieux voilier possède une grande voile rouge.,rouge
Les tensions entre les pays pourraient se transformer en guerre.,Dans de nombreux villages de l'ouest se préparait une guerre.,guerre
Gaspard était perdu et ne savait pas quoi faire.,Léo était choqué car c'était une chose bizarre à faire.,faire
La mère inquiète avait plusieurs bouches à nourrir.,Il avait des animaux difficiles à nourrir.,nourrir
Arielle a été licenciée et a désespérément besoin d'un emploi.,Arthur a cherché et a rapidement retrouver un emploi.,emploi
"En cuisinant, Luc s'est accidentellement coupé avec un couteau.","En rentrant, Chloé trouva sur la table son ancien couteau.",couteau
Gille préfère les films drôles qui le font rire.,Alice lit un livre qui la fait rire.,rire
"Après avoir soumis le papier, Lucie a réalisé qu'elle avait fait une erreur.","Avant de lui répondre, Louis a regardé si le document comportait une erreur.",erreur
"Selon la Bible, le meurtre est un péché.","Dans leur culture, le mensonge est un péché.",péché
"Après s'être lavé les mains, Kevin les a séchées avec une serviette.","Après le tournoi de tennis, Nathan lui a donné une petite serviette.",serviette
