,target,prob_x,number_x,entropy_x,pred_x,sentence_p,prob_y,number_y,entropy_y,pred_y,sentence_u,diff
2,use,0.15789473684210525,6,14,1,"Cette jupe est trop vieille, son tissu est très",0.0,0,2,0,"Pour se réchauffer, il a mis un manteau très",0.15789473684210525
8,sens,0.6774193548387096,21,7,1,Elle aime ce film sans en comprendre le,0.3684210526315789,14,14,0,Georges pense que cette histoire a un,0.3089983022071307
7,perles,0.631578947368421,24,6,1,La riche héritière portait un collier de,0.22580645161290322,7,11,0,La femme s’était offert un beau bracelet de,0.40577249575551777
0,chien,0.9736842105263158,37,2,1,"Les jours ensoleillés, Jacques se rend au parc pour promener son",0.45161290322580644,14,11,0,"Pendant les grandes vacances, le médecin aimait voyager avec son",0.5220713073005094
2,train,0.8709677419354839,27,5,1,"La gare est encore très loin, et nous allons rater notre",0.34210526315789475,13,13,0,"Nous avons enfin fini nos examens, et nous allons prendre le",0.5288624787775891
3,disparu,0.6052631578947368,23,9,1,Le magicien fit tomber le rideau et la femme avait,0.06451612903225806,2,15,0,Les visiteurs attendaient le maire et pensaient qu'il avait,0.5407470288624787
1,arbre,0.8064516129032258,25,5,1,Les pompiers ont enfin récupéré le chat coincé en haut d'un,0.21052631578947367,8,16,0,Nous sommes descendu de la voiture et avons vu un bel,0.5959252971137521
6,construite,0.6052631578947368,23,8,1,Hugo vivait dans une cabane qu'il avait lui-même,0.0,0,22,0,Albert a oublié la radio que sa mère avait,0.6052631578947368
1,rencontrees,0.631578947368421,24,9,1,Émilie l’avait détestée dès le moment où elles s'étaient,0.0,0,23,0,Les policiers n'avaient pas du tout compris qu'elles s'étaient,0.631578947368421
7,campagne,0.967741935483871,30,2,1,"Elevé dans une ferme, il rêve de retourner vivre à la",0.23684210526315788,9,20,0,"A la fin des vacances, Eloïse décida de retourner dans la",0.7308998302207131
10,menthe,0.7368421052631579,28,6,1,Bernard l’avait accueilli avec un thé à la,0.0,0,8,0,Isabelle était sortie cueillir un bouquet de,0.7368421052631579
4,armee,0.8387096774193549,26,5,1,"Dès sa majorité, il s’était engagé dans l'",0.05263157894736842,2,20,0,"Depuis trois ans, elle travaillait dans l'",0.7860780984719864
5,anniversaire,0.9473684210526315,36,3,1,La fillette a reçu ce cadeau pour son,0.12903225806451613,4,17,0,Elle a acheté un pot de fleurs pour son,0.8183361629881154
0,pommes,0.9354838709677419,29,3,1,On fait le cidre avec le jus des,0.10526315789473684,4,28,0,Son ami a toujours adoré manger des,0.830220713073005
9,gorge,0.9736842105263158,37,2,1,Il lui a mis un couteau sous la,0.12903225806451613,4,8,0,Elle a toujours eu mal à la,0.8446519524617997
6,voiture,0.8709677419354839,27,5,1,"Après sa panne, un passant l'a aidé à pousser sa",0.02631578947368421,1,10,0,"Comme ses voisins, elle a elle-même repeint sa",0.8446519524617997
5,honte,0.8709677419354839,27,5,1,Après cette grosse bêtise il rougit de,0.0,0,24,0,"L'après-midi, il su pourquoi il avait",0.8709677419354839
8,sucre,1.0,38,1,1,"Pour rendre son café moins amer, elle a mis un morceau de",0.12903225806451613,4,11,0,"Pour améliorer cette recette, il faudrait ajouter un peu de",0.8709677419354839
12,parapluie,0.9032258064516129,28,4,1,Dès la première goutte de pluie elle a ouvert son,0.0,0,23,0,Dès son arrivée dans le grand magasin elle s'est acheté un,0.9032258064516129
11,photos,0.9210526315789473,35,3,1,Elle a emporté son nouvel appareil pour prendre de belles,0.0,0,13,0,Son père avait dans le temps une incroyable collection de,0.9210526315789473
9,bourse,0.9354838709677419,29,3,1,Il va acheter des actions cotées en,0.0,0,18,0,Elle n'est encore jamais passée devant la,0.9354838709677419
10,lunettes,0.9354838709677419,29,2,1,Sa vue a diminué et elle doit acheter une nouvelle paire de,0.0,0,21,0,Il aime le commerce et a décidé d'ouvrir un magasin de,0.9354838709677419
11,fourchette,0.9354838709677419,29,3,1,Le petit garçon mange son steak avec un couteau et une,0.0,0,15,0,La vieille femme met dans son sac un petit briquet et une,0.9354838709677419
3,pelouse,1.0,31,1,1,"Au printemps dans le jardin, son père tondait la",0.0,0,3,0,"En été à la mer, les enfants jouaient sur la",1.0
4,contrat,1.0,38,1,1,Il voulait travailler pour mon entreprise et n'a pas hésité à signer le,0.0,0,11,0,Elle a eu la bonne idée de le rappeler après avoir étudié son,1.0
