חותמת זמן,,Est-ce que le français est votre langue maternelle ?,Quel est votre sexe ?,Quel est votre âge ?,Quel est le plus haut diplôme que vous ayez obtenu?,Les deux voisins ont discuté et ont compris qu'ils étaient,"Toutes les semaines, le médecin reçoit cette femme avec son vieux",Attendons-nous à ce que cette maison ne soit pas vraiment,Parler à Ines vous éclairera sur son,Les cuisiniers ne savaient plus comment ils s'étaient,Elles aimaient beaucoup la liberté que leur offrait la,Le pauvre homme s'inquiétait toujours de perdre une nouvelle,"Pour se réchauffer, il a mis une couverture très","Avec le poisson, la sauce n'était pas très","De leur chambre, les enfants entendaient bien les bruits de la","Pendant la réunion, les enfants de sa sœur ont décidé de faire un",Elsa était tombée par terre et avait encore cassé sa,Un scarabée est sorti du sac et a commencé à,Sa nouvelle chambre a un mur entièrement peint en,Les marchands de légumes n'ont pas l'habitude de faire la,Léo était choqué devant cette chose étrange à,Mon frère possédait des animaux difficiles à,Arthur a cherché et a rapidement retrouvé un,"En rentrant, Léa trouva sur la table son vieux",Alice lit un vieux roman d'aventure qui la fait,"Avant de répondre, Louis a regardé si le résumé comportait une","Dans leur culture, la curiosité avait toujours été un","Dès leur retour à la maison, Valentin lui a donné une",Les soldats passent toujours par le chemin qu'ils ont,"La comptable venait d'arriver, et pensait que son salaire n'était pas",Julia était de nouveau partie en vacances avec son,Ils ont cherché le voleur mais celui-ci avait déjà,Un très jeune chien s'appelle un,L'énorme valise semblait peser une,J'ai caché ses clés pour lui faire une mauvaise,Le jus de citron est très,Le pêcheur a accroché un ver de terre sur l',Il voulait travailler pour mon entreprise et n'a pas hésité à signer le,"Après une ballade dans les champs, mes bottes étaient couvertes de","Pour entrer dans la maison, l'inspecteur a dû montrer son",L'annonce de soldes très importantes a attiré une immense,Manon a été triste de découvrir que son poisson rouge était,Elle a suggéré à son petit ami barbu de se,Il avait peur des microbes et craignait de tomber,La fillette a reçu ce cadeau pour son,Albert vivait dans une cabane qu'il avait lui-même,Pour arriver à temps il aurait dû marcher plus,"Avec des vêtements éparpillés partout, sa chambre était en","Pour ouvrir la porte, Thomas a tiré de toutes ses",Robert pourrait réparer le vélo s'il avait de meilleurs,"Après deux semaines, il y avait plein de vêtements sales à",Kevin était deçu que son équipe de basket n'ait pas,En s'approchant d'une ruche elle a été piquée par une,Le pêcheur aimait passer la journée en mer sur son,La petite fille s'est cognée et s'est immédiatement mise à,"Pour honorer la mort de son collègue, Kim a assisté à son",Il apprécie la richesse car il a grandi dans la,J'ai entendu miauler un
7/3/2022 17:22,,Oui,Femme,26 - 35,Master ou équivalent,Ennemis,mari,Vendue,Passé,Habillés,Directrice,Fois,Chaude,Bonne,Cour d'école,Jeu,Côte,Courir,Blanc,Queue,Droite,Éduquer,Chat,Sac,Rire,Explication,Atout,Réponse,Tracés,Versé,Copain,Fuit,Chiot,Tonne,Surprise,Acide,Le hameçon,Contrat,Boue,Badge,Foule,Mort,Raser,Malade,Anniversaire,Fabriquée,Rapidement,Bazar,Forces,Outils,Laver,Gagné,Abeille,Navire,Pleurer,Enterrement,Pauvreté,Chat
8/3/2022 11:29,,Oui,Femme,18 - 25,"BTS, DUT, licence ou équivalent",Laids,Manteau,Belles,Parcours,Fait mal,Vie,Fois,Chaude,Bonne,Fenêtre,Puit,Montre,Grimper,Bleu,Vente,Loquet,Alimenter,Œuf,Manteau,Rire,Image,Atout,Lettre,Emprunté,Fixe,Petit frère,Disparu,Chiot,Tonne,Surprise,Acide,Son hameçon,Baille,Boue,Badge,Foule,Mort,Raser,Malade,Grand-père,Confectionné,Vite,En bazar,Forces,Outils,Vendre,Qualifiée,Abeille,Bateau,Pleurer,Enterrement,Rue,Chat
8/3/2022 13:30,,Oui,Femme,26 - 35,Doctorat,frères,mari,isolée,caractère,rencontrés,vie,amie,épaisse,bonne,pluie,dessin,montre,courir,bleu,manche,voir,apprivoiser,appartement,téléphone,voyager,aide,défaut,gifle,repérés,suffisant,chéri,disparu,chiot,tonne,surprise,acide,le hameçon,contrat,boue,badge,foule,mort,raser,malade,anniversaire,construit,vite,bordel,forces,outils,laver,gagné,abeille,bateau,pleurer,enterrement,pauvreté,chat
8/3/2022 13:33,,Oui,Homme,18 - 25,"BTS, DUT, licence ou équivalent",Amis,Chat,Vide,Origine,Rencontré,Route,Voiture,Chaude,Bonne,Machine à laver,Gâteau,Table,Manger,Rose,Vaisselle,Observer,Maîtriser,Chat,Livre,Rêver,Faute,Atout,Claque,Emprunté,Élevé,Copain,Pris la fuite,Chiot,Tone,Surprise,Acide,L’hamecon,Contrat,Boue,Passeport,Attention,Mort,Taire,Malade,Anniversaire,Construite,Vite,Bazard,Forces,Notes,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Pauvreté,Chat
8/3/2022 13:43,,Oui,Femme,46 - 55,"BTS, DUT, licence ou équivalent",Cousins,Chien,En vente,Parcours,Rencontrés,Société,Pièce,Épaisse,Fraiche,Tondeuse,Gâteau,Montre,Grimper,Blanc,Monnaie,Souhait,Elever,Emploi,Manteau,Rêver,Légende,Atout,Fleur,Élagué,Assez,Ami,Parti,Chiot,Tonne,Blague,Acide,Sa canne,Contrat,Terre,Badge,Majorité de soldats,Mort,Raser,Dessus,Anniversaire,Construit,Vite,Désordre,Forces,Outils,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Pauvreté,Chat
8/3/2022 13:56,,Oui,Homme,18 - 25,Master ou équivalent,d'accords,chapeau,hantée,caractère,perdus,vie,fois,chaude,bonne,porte,barbecue,jambe,courir,rose,manche,manger,dompter,badge,cartable,vibrer,CGU,défaut,fessée,nettoyé,correct,copain,volé,chiot,tonne,surprise,acide,la canne,bail,terre,badge,foule,décédé,taire,malade,anniversaire,construite,rapidement,pagaille,forces,compétences,machine à laver,gagné,guêpe,bateau,pleurer,enterrement,luxure,chat
8/3/2022 15:33,,Oui,Femme,46 - 55,Doctorat,D’accord,mari,Habitable,Parcours,Organisés,Rémunération acquise,Fois,Chaude,Nécessaire,Fête,Cache cache,Cheville,Grimper,Rose,Conversation,Digérer,Garder,Emploi,Carnet,Rire,Indication,Défaut,Crêpe,Débroussaillé,Prévu,Copain,Disparu,Chiot,Tonne,Blague,Acide,L’hameçon,Contrat,Boue,Mandat,Foule,Mort,Raser,Malade,Anniversaire,Construite,Vite,Bazar,Forces,Outils,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Classe aisée,Chaton
9/3/2022 7:34,,Oui,Homme,26 - 35,Doctorat,D'accord,Manteau,Belle,Passé,Trompé,Vie,Chaussure,Chaude,Bonne,Pluie,Voyage,Voiture,Courrir,Bleu,Manche,Regarder,Entretenir,Pantalon,Manteau,Rêver,Faute,Atout,Gifle,Découvert,Fiable,Chien,Disparu,Chiot,Tonne,Blague,Frais,L'hameçon,Document,Boue,Badge,Foule,Mort,Retourner,Malade,Anniversaire,Construit,Vite,Bordel,Forces,Amis,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Misère,Chat
9/3/2022 11:11,,Oui,Homme,18 - 25,Master ou équivalent,Amis,Père,Construite,Chemin,Battus,Vie,Amie,Chaude,Bonne,Maison,gateau,Jambe,Voler,Bleu,Manche,Lui,Attraper,Travail,Ordinateur,Rougir,Conclusion,Défaut,Surprise,Construit,Fixe,Copain,Disparu,Chiot,Tonne,Blague,Acide,Sa canne,Dossier,Boue,Badge,Foule,Mort,Raser,Malade,Anniversaire,Construit.,Vite,Désordre,Forces,Associés,Laver,Gagné,Abeille,Bateau,Saigner,Enterrement,Soie,Chat
9/3/2022 11:19,,Oui,Femme,18 - 25,Master ou équivalent,D'accord,Manteau,Chauffée,Origine,Habillé,France,Chaussette,Épaisse,Équilibrée,Rue,Jeux,Chaussure,Courir,Rose,Guerre,L'envers,Domestiquer,Emploi,Chapeau,S'évader,Lettre,Atout,Pomme,Fait,Autant,Chien,Parti,Chiot,Tone,Blague,Acide,Sa canne,Contrat,Boue,Mandat,Foule,Mort,Raser,Malade,Anniversaire,Faite,Vite,Bazar,Force,Compétences,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Pauvreté,Chat
